"[0.000 1.089 0.393 0.000 0.000 0.000 0.116 0.381 0.000 0.000 0.000 0.706
 0.112 -1.000 1.000 -0.194 -0.910 1.000]",,
,0.29316315564161344,
,,0.2931302415614193
"[0.060 0.812 0.000 0.196 0.731 0.000 0.000 0.267 0.000 0.001 0.000 0.000
 -1.000 -0.541 -0.207 -0.453 -0.398 -0.731]",,
,0.29428534474886886,
,,0.2942847212354121
"[0.000 0.000 0.000 0.000 0.000 0.347 0.956 1.146 0.000 0.034 0.000 2.237
 -0.534 0.096 0.781 -0.715 0.107 -1.000]",,
,0.29395464600334514,
,,0.29394591985523744
"[0.180 0.000 0.573 0.159 0.000 0.303 1.932 0.000 0.000 0.000 1.403 0.000
 -0.199 0.745 1.000 -0.384 -0.621 1.000]",,
,0.29453656950342033,
,,0.2944703989887943
"[0.434 0.000 0.000 0.604 0.028 0.000 0.000 0.000 0.000 0.000 0.514 0.432
 -0.352 -0.465 1.000 -0.163 0.062 1.000]",,
,0.29766998723506943,
,,0.29763119352614487
"[0.000 0.451 0.107 1.257 0.539 0.000 1.036 0.615 0.601 0.003 0.000 0.116
 0.058 -1.000 0.297 -0.167 -0.996 0.487]",,
,0.3005451873169788,
,,0.30040966358219734
"[0.000 0.752 0.000 0.000 0.000 0.285 0.000 0.000 0.905 0.000 0.000 0.108
 0.712 1.000 -1.000 0.092 -0.002 -0.151]",,
,0.29349574228474407,
,,0.2934897058059703
"[2.015 0.000 1.278 0.095 0.666 0.000 0.000 1.489 0.000 0.000 0.000 0.000
 0.242 0.212 0.079 -0.048 -1.000 1.000]",,
,0.2984140090352861,
,,0.2983791480564967
"[0.000 0.000 0.000 1.182 0.081 0.000 0.000 0.575 0.000 0.250 0.473 1.062
 -0.794 -0.167 0.648 -0.094 0.613 -0.091]",,
,0.2948053346795611,
