,0.29371722480188345,
,,0.2937170708877103
"[0.947 1.202 1.368 1.146 0.000 1.893 0.663 0.000 1.732 0.000 0.954 0.000
 0.859 -0.489 -0.107]",,
,0.2944062857719791,
,,0.2944056575318615
"[1.941 0.110 0.000 0.000 1.377 0.000 0.659 1.571 0.047 0.000 2.067 0.000
 -1.000 1.000 -0.971]",,
,0.29436157301206767,
,,0.29436155021151106
"[0.532 0.000 0.216 0.588 0.992 0.870 0.022 0.000 0.000 0.000 0.098 0.000
 1.000 0.419 -1.000]",,
,0.2925359025159378,
,,0.2925331135754218
"[0.000 0.543 0.000 1.311 0.000 0.711 1.073 1.339 1.998 2.938 0.000 0.021
 -0.152 -1.000 1.000]",,
,0.29380672575026456,
,,0.2938064837932972
"[1.651 0.000 0.000 0.471 0.000 0.000 0.483 0.215 0.059 0.000 0.000 1.824
 0.343 0.208 -0.674]",,
,0.29430011471252765,
,,0.2943001147125155
"[0.398 0.000 0.435 0.000 0.615 1.369 0.000 0.601 0.000 0.000 0.380 2.136
 0.801 -0.539 -0.547]",,
,0.29146660451470585,
,,0.2914610347667507
"[0.532 0.456 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.977 2.083 0.505
 -0.490 0.298 -1.000]",,
,0.292572022351312,
,,0.2925700289139655
"[0.000 0.000 0.102 0.590 0.927 0.564 0.000 1.474 2.003 0.000 0.825 0.090
 1.000 1.000 -0.610]",,
,0.2939361970605112,
,,0.2939359379835049
"[0.000 0.615 0.000 2.002 0.321 0.995 1.048 0.344 1.835 1.284 0.000 1.980
 -1.000 -0.226 -1.000]",,
,0.29425851377563084,
,,0.29425850141861465
"[0.000 1.286 0.258 1.595 0.000 2.024 0.000 1.769 0.000 0.000 0.000 0.000
 -0.692 -0.744 0.446]",,
,0.29391881170177214,
,,0.29391768629044857
"[1.527 0.000 1.737 0.000 0.000 1.754 0.000 0.000 0.376 1.294 0.000 0.000
 0.119 -0.353 -0.681]",,
,0.29388639471632294,
,,0.2938857865704313
"[3.199 0.000 0.199 0.000 0.376 0.000 2.658 0.336 0.000 0.000 0.000 0.000
 1.000 1.000 -0.857]",,
,0.29284534463685813,
,,0.29284346606364375
"[0.651 1.139 0.000 0.000 0.140 0.000 0.000 0.000 0.000 1.100 0.000 0.692
 -0.226 -1.000 -0.252]",,
,0.29428448303263116,
,,0.2942839232050827
"[0.000 0.000 0.000 0.000 1.138 0.395 0.000 0.662 0.071 1.464 0.708 0.420
 0.756 0.515 -0.557]",,
,0.294326287864218,
,,0.29432628621005275
"[0.249 1.118 1.351 0.679 0.670 0.000 0.000 1.517 1.447 0.000 0.000 0.000
 1.000 -1.000 -1.000]",,
,0.29355332607696105,
,,0.29355246509544203
"[1.439 0.486 0.389 0.000 0.877 0.000 1.633 0.036 1.410 0.568 0.000 0.000
 0.820 0.714 -0.219]",,
,0.29464785583010383,
,,0.29464784983412046
"[0.000 0.000 0.000 0.356 0.000 0.000 0.887 1.351 0.000 1.240 2.049 0.000
 0.706 -1.000 1.000]",,
,0.29457210978126236,
,,0.2945702458196268
"[1.496 0.000 0.775 1.047 0.000 0.000 0.000 0.000 0.135 0.000 0.000 0.862
 0.990 -1.000 0.520]",,
,0.2947505102239841,
,,0.294750386739355
